SETUP C RESULTS FULL TEST SET 

{'model': {'name': 'sc_agent', 'max_iterations': 2, 'max_retry': 2, 'chunking': False, 'study': 'complete', 'mode': 'direct', 'retrieval_switch': True, 'no_examples': False, 'logname': 'sc_agent'}, 'tools': {'Finish': {'open': True}, 'GetTaskDescription': {'open': True}, 'GetRelationDefinition': {'open': True}, 'RetrieveExamples': {'open': True, 'mode': 'bge', 'k': 3}}, 'train': {'if_train': False, 'if_predict': True, 'if_evaluate': True, 'trainer': 'trainer_sc_agent'}, 'data': {'type': 're', 'name': 'Wikidata', 'language': 'en', 'num_samples': 150, 'num_samples_index': 1000, 'train_num_samples': 0, 'input_trace': True}, 'llm': {'model_name': 'glm-4.7', 'temperature': 0, 'max_tokens': 4096, 'use_cache': False, 'client': 'academic'}}
Start predicting with 150 samples (indices 0..149).
idx=0, metric_dict={'f1': 0, 'recall': 0.0, 'precision': 0.0}
idx=25, metric_dict={'f1': 0.021, 'recall': 0.119, 'precision': 0.0115}
idx=26, metric_dict={'f1': 0.0207, 'recall': 0.1136, 'precision': 0.0114}
idx=27, metric_dict={'f1': 0.0247, 'recall': 0.1333, 'precision': 0.0136}
idx=28, metric_dict={'f1': 0.0246, 'recall': 0.1277, 'precision': 0.0136}
idx=29, metric_dict={'f1': 0.0245, 'recall': 0.125, 'precision': 0.0136}
idx=30, metric_dict={'f1': 0.024, 'recall': 0.1224, 'precision': 0.0133}
idx=31, metric_dict={'f1': 0.0239, 'recall': 0.12, 'precision': 0.0132}
idx=32, metric_dict={'f1': 0.0237, 'recall': 0.1176, 'precision': 0.0132}
idx=33, metric_dict={'f1': 0.0198, 'recall': 0.1154, 'precision': 0.0108}
idx=34, metric_dict={'f1': 0.0193, 'recall': 0.1091, 'precision': 0.0106}
idx=35, metric_dict={'f1': 0.022, 'recall': 0.125, 'precision': 0.012}
idx=36, metric_dict={'f1': 0.0267, 'recall': 0.1525, 'precision': 0.0147}
idx=37, metric_dict={'f1': 0.0296, 'recall': 0.1667, 'precision': 0.0163}
idx=38, metric_dict={'f1': 0.032, 'recall': 0.1803, 'precision': 0.0176}
idx=39, metric_dict={'f1': 0.0316, 'recall': 0.1774, 'precision': 0.0174}
idx=40, metric_dict={'f1': 0.0315, 'recall': 0.1746, 'precision': 0.0173}
idx=41, metric_dict={'f1': 0.0314, 'recall': 0.1719, 'precision': 0.0173}
idx=42, metric_dict={'f1': 0.0338, 'recall': 0.1846, 'precision': 0.0186}
idx=43, metric_dict={'f1': 0.0337, 'recall': 0.1791, 'precision': 0.0186}
idx=44, metric_dict={'f1': 0.0329, 'recall': 0.1765, 'precision': 0.0181}
idx=45, metric_dict={'f1': 0.0348, 'recall': 0.1884, 'precision': 0.0192}
idx=46, metric_dict={'f1': 0.0347, 'recall': 0.1857, 'precision': 0.0191}
idx=47, metric_dict={'f1': 0.0373, 'recall': 0.1972, 'precision': 0.0206}
idx=48, metric_dict={'f1': 0.0364, 'recall': 0.1944, 'precision': 0.0201}
idx=49, metric_dict={'f1': 0.0351, 'recall': 0.1918, 'precision': 0.0193}
idx=50, metric_dict={'f1': 0.0343, 'recall': 0.1892, 'precision': 0.0189}
idx=51, metric_dict={'f1': 0.0338, 'recall': 0.1867, 'precision': 0.0186}
idx=52, metric_dict={'f1': 0.0337, 'recall': 0.1842, 'precision': 0.0185}
idx=53, metric_dict={'f1': 0.0359, 'recall': 0.1948, 'precision': 0.0198}
idx=54, metric_dict={'f1': 0.0344, 'recall': 0.1852, 'precision': 0.019}
idx=55, metric_dict={'f1': 0.0341, 'recall': 0.1829, 'precision': 0.0188}
idx=56, metric_dict={'f1': 0.0337, 'recall': 0.1807, 'precision': 0.0186}
idx=57, metric_dict={'f1': 0.0328, 'recall': 0.1905, 'precision': 0.018}
idx=58, metric_dict={'f1': 0.0327, 'recall': 0.1882, 'precision': 0.0179}
idx=59, metric_dict={'f1': 0.0344, 'recall': 0.1932, 'precision': 0.0189}
Error formatting triplet: {'subject': 'Joh. A. Benckiser GmbH', 'predicate': 'has subsidiary'}, error: 'object'
idx=60, metric_dict={'f1': 0.0343, 'recall': 0.1889, 'precision': 0.0189}
idx=61, metric_dict={'f1': 0.0342, 'recall': 0.1868, 'precision': 0.0188}
idx=62, metric_dict={'f1': 0.0342, 'recall': 0.1848, 'precision': 0.0188}
idx=63, metric_dict={'f1': 0.0358, 'recall': 0.1935, 'precision': 0.0197}
idx=64, metric_dict={'f1': 0.0355, 'recall': 0.1915, 'precision': 0.0196}
idx=65, metric_dict={'f1': 0.0373, 'recall': 0.2, 'precision': 0.0206}
idx=66, metric_dict={'f1': 0.037, 'recall': 0.1979, 'precision': 0.0204}
idx=67, metric_dict={'f1': 0.0365, 'recall': 0.1939, 'precision': 0.0202}
idx=68, metric_dict={'f1': 0.0365, 'recall': 0.1919, 'precision': 0.0201}
idx=69, metric_dict={'f1': 0.0364, 'recall': 0.19, 'precision': 0.0201}
idx=70, metric_dict={'f1': 0.0364, 'recall': 0.1863, 'precision': 0.0201}
idx=71, metric_dict={'f1': 0.0363, 'recall': 0.1845, 'precision': 0.0201}
idx=72, metric_dict={'f1': 0.0363, 'recall': 0.1827, 'precision': 0.0201}
idx=73, metric_dict={'f1': 0.0362, 'recall': 0.181, 'precision': 0.0201}
idx=74, metric_dict={'f1': 0.0362, 'recall': 0.1792, 'precision': 0.0201}
idx=75, metric_dict={'f1': 0.0378, 'recall': 0.1869, 'precision': 0.021}
idx=76, metric_dict={'f1': 0.0395, 'recall': 0.1944, 'precision': 0.022}
idx=77, metric_dict={'f1': 0.0391, 'recall': 0.1927, 'precision': 0.0218}
idx=78, metric_dict={'f1': 0.0407, 'recall': 0.2, 'precision': 0.0226}
idx=79, metric_dict={'f1': 0.0406, 'recall': 0.1947, 'precision': 0.0226}
idx=80, metric_dict={'f1': 0.039, 'recall': 0.1897, 'precision': 0.0218}
idx=81, metric_dict={'f1': 0.0388, 'recall': 0.188, 'precision': 0.0216}
idx=82, metric_dict={'f1': 0.0382, 'recall': 0.1864, 'precision': 0.0213}
idx=83, metric_dict={'f1': 0.0398, 'recall': 0.1933, 'precision': 0.0222}
idx=84, metric_dict={'f1': 0.0413, 'recall': 0.2, 'precision': 0.0231}
idx=85, metric_dict={'f1': 0.041, 'recall': 0.1983, 'precision': 0.0229}
idx=86, metric_dict={'f1': 0.0404, 'recall': 0.1967, 'precision': 0.0225}
idx=87, metric_dict={'f1': 0.0403, 'recall': 0.1951, 'precision': 0.0225}
idx=88, metric_dict={'f1': 0.0389, 'recall': 0.1935, 'precision': 0.0216}
idx=89, metric_dict={'f1': 0.0383, 'recall': 0.192, 'precision': 0.0213}
idx=90, metric_dict={'f1': 0.038, 'recall': 0.1905, 'precision': 0.0211}
idx=91, metric_dict={'f1': 0.0394, 'recall': 0.1969, 'precision': 0.0219}
idx=92, metric_dict={'f1': 0.0409, 'recall': 0.2031, 'precision': 0.0227}
idx=93, metric_dict={'f1': 0.0401, 'recall': 0.197, 'precision': 0.0223}
idx=94, metric_dict={'f1': 0.0415, 'recall': 0.203, 'precision': 0.0231}
idx=95, metric_dict={'f1': 0.0428, 'recall': 0.209, 'precision': 0.0239}
idx=96, metric_dict={'f1': 0.0428, 'recall': 0.2074, 'precision': 0.0239}
idx=97, metric_dict={'f1': 0.0422, 'recall': 0.2059, 'precision': 0.0235}
idx=98, metric_dict={'f1': 0.0415, 'recall': 0.2044, 'precision': 0.0231}
idx=99, metric_dict={'f1': 0.0429, 'recall': 0.2101, 'precision': 0.0239}
idx=100, metric_dict={'f1': 0.0429, 'recall': 0.2086, 'precision': 0.0239}
idx=101, metric_dict={'f1': 0.0427, 'recall': 0.2071, 'precision': 0.0238}
idx=102, metric_dict={'f1': 0.0441, 'recall': 0.2128, 'precision': 0.0246}
idx=103, metric_dict={'f1': 0.0441, 'recall': 0.2113, 'precision': 0.0246}
idx=104, metric_dict={'f1': 0.0438, 'recall': 0.2055, 'precision': 0.0245}
idx=105, metric_dict={'f1': 0.0437, 'recall': 0.2013, 'precision': 0.0245}
idx=106, metric_dict={'f1': 0.045, 'recall': 0.2067, 'precision': 0.0252}
idx=107, metric_dict={'f1': 0.0462, 'recall': 0.2119, 'precision': 0.0259}
idx=108, metric_dict={'f1': 0.0461, 'recall': 0.2105, 'precision': 0.0259}
idx=109, metric_dict={'f1': 0.0461, 'recall': 0.2143, 'precision': 0.0258}
idx=110, metric_dict={'f1': 0.0459, 'recall': 0.2129, 'precision': 0.0257}
idx=111, metric_dict={'f1': 0.0459, 'recall': 0.2115, 'precision': 0.0257}
idx=112, metric_dict={'f1': 0.0457, 'recall': 0.2102, 'precision': 0.0256}
idx=113, metric_dict={'f1': 0.0465, 'recall': 0.2152, 'precision': 0.0261}
idx=114, metric_dict={'f1': 0.0465, 'recall': 0.2138, 'precision': 0.0261}
idx=115, metric_dict={'f1': 0.046, 'recall': 0.2125, 'precision': 0.0258}
idx=116, metric_dict={'f1': 0.0459, 'recall': 0.2112, 'precision': 0.0258}
idx=117, metric_dict={'f1': 0.0459, 'recall': 0.2099, 'precision': 0.0257}
idx=118, metric_dict={'f1': 0.0437, 'recall': 0.2086, 'precision': 0.0244}
idx=119, metric_dict={'f1': 0.0446, 'recall': 0.2134, 'precision': 0.0249}
idx=120, metric_dict={'f1': 0.0444, 'recall': 0.2121, 'precision': 0.0248}
idx=121, metric_dict={'f1': 0.0475, 'recall': 0.2222, 'precision': 0.0266}
idx=122, metric_dict={'f1': 0.0441, 'recall': 0.2209, 'precision': 0.0245}
idx=123, metric_dict={'f1': 0.0441, 'recall': 0.2197, 'precision': 0.0245}
idx=124, metric_dict={'f1': 0.043, 'recall': 0.2159, 'precision': 0.0239}
idx=125, metric_dict={'f1': 0.0429, 'recall': 0.2147, 'precision': 0.0238}
idx=126, metric_dict={'f1': 0.0427, 'recall': 0.2135, 'precision': 0.0237}
idx=127, metric_dict={'f1': 0.0425, 'recall': 0.2123, 'precision': 0.0236}
idx=128, metric_dict={'f1': 0.0425, 'recall': 0.2111, 'precision': 0.0236}
idx=129, metric_dict={'f1': 0.0435, 'recall': 0.2155, 'precision': 0.0242}
idx=130, metric_dict={'f1': 0.043, 'recall': 0.2131, 'precision': 0.0239}
idx=131, metric_dict={'f1': 0.0441, 'recall': 0.2174, 'precision': 0.0245}
idx=132, metric_dict={'f1': 0.0447, 'recall': 0.2204, 'precision': 0.0249}
idx=133, metric_dict={'f1': 0.0441, 'recall': 0.2181, 'precision': 0.0245}
idx=134, metric_dict={'f1': 0.0439, 'recall': 0.2169, 'precision': 0.0244}
idx=135, metric_dict={'f1': 0.0438, 'recall': 0.2158, 'precision': 0.0244}
idx=136, metric_dict={'f1': 0.0436, 'recall': 0.2147, 'precision': 0.0243}
idx=137, metric_dict={'f1': 0.0434, 'recall': 0.2124, 'precision': 0.0242}
idx=138, metric_dict={'f1': 0.0429, 'recall': 0.2113, 'precision': 0.0239}
idx=139, metric_dict={'f1': 0.0429, 'recall': 0.2103, 'precision': 0.0239}
idx=140, metric_dict={'f1': 0.0427, 'recall': 0.2092, 'precision': 0.0238}
idx=141, metric_dict={'f1': 0.0437, 'recall': 0.2132, 'precision': 0.0243}
idx=142, metric_dict={'f1': 0.0436, 'recall': 0.2111, 'precision': 0.0243}
idx=143, metric_dict={'f1': 0.0434, 'recall': 0.21, 'precision': 0.0242}
idx=144, metric_dict={'f1': 0.0443, 'recall': 0.2139, 'precision': 0.0247}
idx=145, metric_dict={'f1': 0.0442, 'recall': 0.2129, 'precision': 0.0246}
idx=146, metric_dict={'f1': 0.0451, 'recall': 0.2167, 'precision': 0.0252}
idx=147, metric_dict={'f1': 0.0461, 'recall': 0.2206, 'precision': 0.0257}
idx=148, metric_dict={'f1': 0.046, 'recall': 0.2195, 'precision': 0.0257}
idx=149, metric_dict={'f1': 0.046, 'recall': 0.2184, 'precision': 0.0257}
Saving LLM input trace to input_trace_Wikidata/llm_input_trace_sc_agent_glm-4.7_Wikidata_.json...
Finish predicting with 150 samples.
Loading results...
Generating train split: 150 examples [00:09, 16.30 examples/s]
Evaluating...
Error formatting triplet: {'object': None, 'predicate': 'has subsidiary', 'subject': 'Joh. A. Benckiser GmbH'}, error: sequence item 2: expected str instance, NoneType found
Evaluation result: {'f1': 0.046, 'recall': 0.2184, 'precision': 0.0257}
