{'model': {'name': 'react_fsl', 'max_iterations': 5, 'max_retry': 5, 'logname': 'react_fsl'}, 'tools': {'Finish': {'open': True}, 'GetTaskDescription': {'open': True}, 'GetRelationDefinition': {'open': True}, 'RetrieveExamples': {'open': True, 'mode': 'bge', 'k': 3}}, 'train': {'if_train': False, 'if_predict': True, 'if_evaluate': True}, 'data': {'type': 're', 'name': 'Wikidata', 'language': 'en', 'num_samples': 150, 'num_samples_index': 1000, 'train_num_samples': 0, 'input_trace': True}, 'llm': {'model_name': 'glm-4.7', 'temperature': 0, 'max_tokens': 4096, 'use_cache': False, 'client': 'academic'}}
Start predicting with 150 samples (indices 0..149).
idx=0, metric_dict={'f1': 0.5, 'recall': 0.5, 'precision': 0.5}
idx=21, metric_dict={'f1': 0.0498, 'recall': 0.1351, 'precision': 0.0305}
idx=22, metric_dict={'f1': 0.0457, 'recall': 0.1316, 'precision': 0.0276}
idx=23, metric_dict={'f1': 0.0455, 'recall': 0.1282, 'precision': 0.0276}
idx=24, metric_dict={'f1': 0.0524, 'recall': 0.15, 'precision': 0.0317}
idx=25, metric_dict={'f1': 0.0484, 'recall': 0.1429, 'precision': 0.0291}
idx=26, metric_dict={'f1': 0.053, 'recall': 0.1591, 'precision': 0.0318}
idx=27, metric_dict={'f1': 0.0602, 'recall': 0.1778, 'precision': 0.0362}
idx=28, metric_dict={'f1': 0.0567, 'recall': 0.1702, 'precision': 0.034}
idx=29, metric_dict={'f1': 0.0563, 'recall': 0.1667, 'precision': 0.0339}
idx=30, metric_dict={'f1': 0.0561, 'recall': 0.1633, 'precision': 0.0339}
idx=31, metric_dict={'f1': 0.0556, 'recall': 0.16, 'precision': 0.0336}
idx=32, metric_dict={'f1': 0.0537, 'recall': 0.1569, 'precision': 0.0324}
idx=33, metric_dict={'f1': 0.0566, 'recall': 0.1731, 'precision': 0.0338}
idx=34, metric_dict={'f1': 0.0533, 'recall': 0.1636, 'precision': 0.0318}
idx=35, metric_dict={'f1': 0.0565, 'recall': 0.1786, 'precision': 0.0336}
idx=36, metric_dict={'f1': 0.0579, 'recall': 0.1864, 'precision': 0.0343}
idx=37, metric_dict={'f1': 0.0614, 'recall': 0.2, 'precision': 0.0363}
idx=38, metric_dict={'f1': 0.0658, 'recall': 0.2131, 'precision': 0.0389}
idx=39, metric_dict={'f1': 0.064, 'recall': 0.2097, 'precision': 0.0378}
idx=40, metric_dict={'f1': 0.0637, 'recall': 0.2063, 'precision': 0.0377}
idx=41, metric_dict={'f1': 0.0676, 'recall': 0.2188, 'precision': 0.04}
idx=42, metric_dict={'f1': 0.0642, 'recall': 0.2154, 'precision': 0.0377}
idx=43, metric_dict={'f1': 0.0639, 'recall': 0.209, 'precision': 0.0377}
idx=44, metric_dict={'f1': 0.0629, 'recall': 0.2059, 'precision': 0.0371}
idx=45, metric_dict={'f1': 0.0652, 'recall': 0.2174, 'precision': 0.0384}
idx=46, metric_dict={'f1': 0.0651, 'recall': 0.2143, 'precision': 0.0384}
idx=47, metric_dict={'f1': 0.0685, 'recall': 0.2254, 'precision': 0.0404}
idx=48, metric_dict={'f1': 0.0657, 'recall': 0.2222, 'precision': 0.0386}
idx=49, metric_dict={'f1': 0.0656, 'recall': 0.2192, 'precision': 0.0386}
idx=50, metric_dict={'f1': 0.0631, 'recall': 0.2162, 'precision': 0.037}
idx=51, metric_dict={'f1': 0.0605, 'recall': 0.2133, 'precision': 0.0352}
idx=52, metric_dict={'f1': 0.0603, 'recall': 0.2105, 'precision': 0.0352}
idx=53, metric_dict={'f1': 0.0589, 'recall': 0.2078, 'precision': 0.0343}
idx=54, metric_dict={'f1': 0.0599, 'recall': 0.2099, 'precision': 0.0349}
idx=55, metric_dict={'f1': 0.0584, 'recall': 0.2073, 'precision': 0.034}
idx=56, metric_dict={'f1': 0.0579, 'recall': 0.2048, 'precision': 0.0337}
idx=57, metric_dict={'f1': 0.0578, 'recall': 0.2024, 'precision': 0.0337}
idx=58, metric_dict={'f1': 0.057, 'recall': 0.2, 'precision': 0.0333}
idx=59, metric_dict={'f1': 0.0629, 'recall': 0.2159, 'precision': 0.0368}
idx=60, metric_dict={'f1': 0.0627, 'recall': 0.2111, 'precision': 0.0368}
idx=61, metric_dict={'f1': 0.0621, 'recall': 0.2088, 'precision': 0.0365}
idx=62, metric_dict={'f1': 0.0611, 'recall': 0.2065, 'precision': 0.0358}
idx=63, metric_dict={'f1': 0.063, 'recall': 0.2151, 'precision': 0.0369}
idx=64, metric_dict={'f1': 0.0629, 'recall': 0.2128, 'precision': 0.0369}
idx=65, metric_dict={'f1': 0.0623, 'recall': 0.2105, 'precision': 0.0366}
idx=66, metric_dict={'f1': 0.0613, 'recall': 0.2083, 'precision': 0.036}
idx=67, metric_dict={'f1': 0.0658, 'recall': 0.2245, 'precision': 0.0385}
idx=68, metric_dict={'f1': 0.0682, 'recall': 0.2323, 'precision': 0.04}
idx=69, metric_dict={'f1': 0.0681, 'recall': 0.23, 'precision': 0.04}
idx=70, metric_dict={'f1': 0.0665, 'recall': 0.2255, 'precision': 0.039}
idx=71, metric_dict={'f1': 0.0682, 'recall': 0.233, 'precision': 0.0399}
idx=72, metric_dict={'f1': 0.0681, 'recall': 0.2308, 'precision': 0.0399}
idx=73, metric_dict={'f1': 0.068, 'recall': 0.2286, 'precision': 0.0399}
idx=74, metric_dict={'f1': 0.0672, 'recall': 0.2264, 'precision': 0.0395}
idx=75, metric_dict={'f1': 0.0697, 'recall': 0.2336, 'precision': 0.041}
idx=76, metric_dict={'f1': 0.0722, 'recall': 0.2407, 'precision': 0.0425}
idx=77, metric_dict={'f1': 0.0702, 'recall': 0.2385, 'precision': 0.0411}
idx=78, metric_dict={'f1': 0.0719, 'recall': 0.2455, 'precision': 0.0421}
idx=79, metric_dict={'f1': 0.0716, 'recall': 0.2389, 'precision': 0.0421}
idx=80, metric_dict={'f1': 0.0713, 'recall': 0.2328, 'precision': 0.0421}
idx=81, metric_dict={'f1': 0.0731, 'recall': 0.2393, 'precision': 0.0431}
idx=82, metric_dict={'f1': 0.0711, 'recall': 0.2373, 'precision': 0.0418}
idx=83, metric_dict={'f1': 0.073, 'recall': 0.2437, 'precision': 0.043}
idx=84, metric_dict={'f1': 0.0726, 'recall': 0.2417, 'precision': 0.0427}
idx=85, metric_dict={'f1': 0.0693, 'recall': 0.2397, 'precision': 0.0405}
idx=86, metric_dict={'f1': 0.0692, 'recall': 0.2377, 'precision': 0.0405}
idx=87, metric_dict={'f1': 0.0691, 'recall': 0.2358, 'precision': 0.0405}
idx=88, metric_dict={'f1': 0.0671, 'recall': 0.2339, 'precision': 0.0392}
idx=89, metric_dict={'f1': 0.0686, 'recall': 0.24, 'precision': 0.04}
idx=90, metric_dict={'f1': 0.0668, 'recall': 0.2381, 'precision': 0.0389}
idx=91, metric_dict={'f1': 0.0664, 'recall': 0.2362, 'precision': 0.0387}
idx=92, metric_dict={'f1': 0.0685, 'recall': 0.2422, 'precision': 0.0399}
idx=93, metric_dict={'f1': 0.0682, 'recall': 0.2348, 'precision': 0.0399}
idx=94, metric_dict={'f1': 0.0675, 'recall': 0.2331, 'precision': 0.0394}
idx=95, metric_dict={'f1': 0.0668, 'recall': 0.2313, 'precision': 0.039}
idx=96, metric_dict={'f1': 0.0665, 'recall': 0.2296, 'precision': 0.0389}
idx=97, metric_dict={'f1': 0.0669, 'recall': 0.2353, 'precision': 0.039}
idx=98, metric_dict={'f1': 0.0656, 'recall': 0.2336, 'precision': 0.0382}
idx=99, metric_dict={'f1': 0.0673, 'recall': 0.2391, 'precision': 0.0392}
idx=100, metric_dict={'f1': 0.0691, 'recall': 0.2446, 'precision': 0.0402}
idx=101, metric_dict={'f1': 0.0686, 'recall': 0.2429, 'precision': 0.04}
idx=102, metric_dict={'f1': 0.0704, 'recall': 0.2482, 'precision': 0.041}
idx=103, metric_dict={'f1': 0.0704, 'recall': 0.2465, 'precision': 0.041}
idx=104, metric_dict={'f1': 0.0692, 'recall': 0.2397, 'precision': 0.0405}
idx=105, metric_dict={'f1': 0.069, 'recall': 0.2349, 'precision': 0.0405}
idx=106, metric_dict={'f1': 0.0707, 'recall': 0.24, 'precision': 0.0415}
idx=107, metric_dict={'f1': 0.0719, 'recall': 0.245, 'precision': 0.0421}
idx=108, metric_dict={'f1': 0.0714, 'recall': 0.2434, 'precision': 0.0419}
idx=109, metric_dict={'f1': 0.0713, 'recall': 0.2403, 'precision': 0.0419}
idx=110, metric_dict={'f1': 0.0731, 'recall': 0.2452, 'precision': 0.0429}
idx=111, metric_dict={'f1': 0.073, 'recall': 0.2436, 'precision': 0.0429}
idx=112, metric_dict={'f1': 0.0724, 'recall': 0.242, 'precision': 0.0426}
idx=113, metric_dict={'f1': 0.0724, 'recall': 0.2405, 'precision': 0.0426}
idx=114, metric_dict={'f1': 0.0714, 'recall': 0.239, 'precision': 0.042}
idx=115, metric_dict={'f1': 0.0707, 'recall': 0.2375, 'precision': 0.0415}
idx=116, metric_dict={'f1': 0.0705, 'recall': 0.236, 'precision': 0.0414}
idx=117, metric_dict={'f1': 0.07, 'recall': 0.2346, 'precision': 0.0411}
idx=118, metric_dict={'f1': 0.0705, 'recall': 0.2393, 'precision': 0.0413}
idx=119, metric_dict={'f1': 0.071, 'recall': 0.2439, 'precision': 0.0415}
idx=120, metric_dict={'f1': 0.0705, 'recall': 0.2424, 'precision': 0.0412}
idx=121, metric_dict={'f1': 0.0758, 'recall': 0.2573, 'precision': 0.0444}
idx=122, metric_dict={'f1': 0.075, 'recall': 0.2558, 'precision': 0.044}
idx=123, metric_dict={'f1': 0.075, 'recall': 0.2543, 'precision': 0.044}
idx=124, metric_dict={'f1': 0.0748, 'recall': 0.25, 'precision': 0.044}
idx=125, metric_dict={'f1': 0.0743, 'recall': 0.2486, 'precision': 0.0437}
idx=126, metric_dict={'f1': 0.0736, 'recall': 0.2472, 'precision': 0.0433}
idx=127, metric_dict={'f1': 0.0733, 'recall': 0.2458, 'precision': 0.0431}
idx=128, metric_dict={'f1': 0.073, 'recall': 0.2444, 'precision': 0.0429}
idx=129, metric_dict={'f1': 0.0744, 'recall': 0.2486, 'precision': 0.0438}
idx=130, metric_dict={'f1': 0.0734, 'recall': 0.2459, 'precision': 0.0431}
idx=131, metric_dict={'f1': 0.0748, 'recall': 0.25, 'precision': 0.044}
idx=132, metric_dict={'f1': 0.075, 'recall': 0.2527, 'precision': 0.044}
idx=133, metric_dict={'f1': 0.0738, 'recall': 0.25, 'precision': 0.0433}
idx=134, metric_dict={'f1': 0.0734, 'recall': 0.2487, 'precision': 0.0431}
idx=135, metric_dict={'f1': 0.0729, 'recall': 0.2474, 'precision': 0.0427}
idx=136, metric_dict={'f1': 0.0728, 'recall': 0.2461, 'precision': 0.0427}
idx=137, metric_dict={'f1': 0.0726, 'recall': 0.2435, 'precision': 0.0426}
idx=138, metric_dict={'f1': 0.0718, 'recall': 0.2423, 'precision': 0.0422}
idx=139, metric_dict={'f1': 0.0716, 'recall': 0.241, 'precision': 0.0421}
idx=140, metric_dict={'f1': 0.0709, 'recall': 0.2398, 'precision': 0.0416}
idx=141, metric_dict={'f1': 0.0719, 'recall': 0.2437, 'precision': 0.0421}
idx=142, metric_dict={'f1': 0.0717, 'recall': 0.2412, 'precision': 0.0421}
idx=143, metric_dict={'f1': 0.0725, 'recall': 0.245, 'precision': 0.0426}
idx=144, metric_dict={'f1': 0.0734, 'recall': 0.2488, 'precision': 0.043}
idx=145, metric_dict={'f1': 0.073, 'recall': 0.2475, 'precision': 0.0428}
idx=146, metric_dict={'f1': 0.073, 'recall': 0.2463, 'precision': 0.0428}
idx=147, metric_dict={'f1': 0.0732, 'recall': 0.25, 'precision': 0.0429}
idx=148, metric_dict={'f1': 0.073, 'recall': 0.2488, 'precision': 0.0428}
idx=149, metric_dict={'f1': 0.0737, 'recall': 0.2524, 'precision': 0.0431}
Saving LLM input trace to input_trace_Wikidata/llm_input_trace_react_fsl_glm-4.7_Wikidata_.json...
Finish predicting with 150 samples.
Loading results...
Generating train split: 150 examples [00:03, 42.95 examples/s]
Evaluating...
Evaluation result: {'f1': 0.0737, 'recall': 0.2524, 'precision': 0.0431}
