{'model': {'name': 'sc_agent', 'max_iterations': 2, 'max_retry': 2, 'chunking': False, 'study': 'complete', 'mode': 'direct', 'retrieval_switch': True, 'no_examples': False, 'logname': 'sc_agent'}, 'tools': {'Finish': {'open': True}, 'GetTaskDescription': {'open': True}, 'GetRelationDefinition': {'open': True}, 'RetrieveExamples': {'open': True, 'mode': 'bge', 'k': 3}}, 'train': {'if_train': False, 'if_predict': True, 'if_evaluate': True, 'trainer': 'trainer_sc_agent'}, 'data': {'type': 're', 'name': 'Wikidata', 'language': 'en', 'num_samples': 150, 'num_samples_index': 1000, 'train_num_samples': 0, 'input_trace': True}, 'llm': {'model_name': 'glm-4.7', 'temperature': 0, 'max_tokens': 4096, 'use_cache': False, 'client': 'academic'}}
Start predicting with 150 samples (indices 0..149).
idx=0, metric_dict={'f1': 0, 'recall': 0.0, 'precision': 0.0}
idx=37, metric_dict={'f1': 0.0408, 'recall': 0.1167, 'precision': 0.0247}
idx=38, metric_dict={'f1': 0.0449, 'recall': 0.1311, 'precision': 0.0271}
idx=39, metric_dict={'f1': 0.0438, 'recall': 0.129, 'precision': 0.0264}
idx=40, metric_dict={'f1': 0.0436, 'recall': 0.127, 'precision': 0.0263}
idx=41, metric_dict={'f1': 0.0432, 'recall': 0.125, 'precision': 0.0261}
idx=42, metric_dict={'f1': 0.0476, 'recall': 0.1385, 'precision': 0.0288}
idx=43, metric_dict={'f1': 0.0474, 'recall': 0.1343, 'precision': 0.0288}
idx=44, metric_dict={'f1': 0.0432, 'recall': 0.1324, 'precision': 0.0258}
idx=45, metric_dict={'f1': 0.0447, 'recall': 0.1449, 'precision': 0.0265}
idx=46, metric_dict={'f1': 0.0446, 'recall': 0.1429, 'precision': 0.0265}
idx=47, metric_dict={'f1': 0.0445, 'recall': 0.1408, 'precision': 0.0265}
idx=48, metric_dict={'f1': 0.0439, 'recall': 0.1389, 'precision': 0.026}
idx=49, metric_dict={'f1': 0.0438, 'recall': 0.137, 'precision': 0.026}
idx=50, metric_dict={'f1': 0.0422, 'recall': 0.1351, 'precision': 0.025}
idx=51, metric_dict={'f1': 0.041, 'recall': 0.1333, 'precision': 0.0242}
idx=52, metric_dict={'f1': 0.0408, 'recall': 0.1316, 'precision': 0.0242}
idx=53, metric_dict={'f1': 0.0443, 'recall': 0.1429, 'precision': 0.0262}
idx=54, metric_dict={'f1': 0.042, 'recall': 0.1358, 'precision': 0.0248}
idx=55, metric_dict={'f1': 0.0412, 'recall': 0.1341, 'precision': 0.0243}
idx=56, metric_dict={'f1': 0.0404, 'recall': 0.1325, 'precision': 0.0239}
idx=57, metric_dict={'f1': 0.0404, 'recall': 0.131, 'precision': 0.0239}
idx=58, metric_dict={'f1': 0.04, 'recall': 0.1294, 'precision': 0.0237}
idx=59, metric_dict={'f1': 0.0431, 'recall': 0.1364, 'precision': 0.0256}
Error formatting triplet: {'subject': 'Joh. A. Benckiser GmbH', 'predicate': 'has subsidiary'}, error: 'object'
idx=60, metric_dict={'f1': 0.0428, 'recall': 0.1333, 'precision': 0.0255}
idx=61, metric_dict={'f1': 0.0426, 'recall': 0.1319, 'precision': 0.0254}
idx=62, metric_dict={'f1': 0.0425, 'recall': 0.1304, 'precision': 0.0254}
idx=63, metric_dict={'f1': 0.0454, 'recall': 0.1398, 'precision': 0.0271}
idx=64, metric_dict={'f1': 0.0453, 'recall': 0.1383, 'precision': 0.0271}
idx=65, metric_dict={'f1': 0.0484, 'recall': 0.1474, 'precision': 0.029}
idx=66, metric_dict={'f1': 0.0476, 'recall': 0.1458, 'precision': 0.0285}
idx=67, metric_dict={'f1': 0.0467, 'recall': 0.1429, 'precision': 0.0279}
idx=68, metric_dict={'f1': 0.0465, 'recall': 0.1414, 'precision': 0.0278}
idx=69, metric_dict={'f1': 0.0464, 'recall': 0.14, 'precision': 0.0278}
idx=70, metric_dict={'f1': 0.0463, 'recall': 0.1373, 'precision': 0.0278}
idx=71, metric_dict={'f1': 0.0462, 'recall': 0.1359, 'precision': 0.0278}
idx=72, metric_dict={'f1': 0.0427, 'recall': 0.1346, 'precision': 0.0254}
idx=73, metric_dict={'f1': 0.0426, 'recall': 0.1333, 'precision': 0.0254}
idx=74, metric_dict={'f1': 0.0426, 'recall': 0.1321, 'precision': 0.0254}
idx=75, metric_dict={'f1': 0.045, 'recall': 0.1402, 'precision': 0.0268}
idx=76, metric_dict={'f1': 0.0478, 'recall': 0.1481, 'precision': 0.0285}
idx=77, metric_dict={'f1': 0.0471, 'recall': 0.1468, 'precision': 0.028}
idx=78, metric_dict={'f1': 0.0493, 'recall': 0.1545, 'precision': 0.0294}
idx=79, metric_dict={'f1': 0.0491, 'recall': 0.1504, 'precision': 0.0294}
idx=80, metric_dict={'f1': 0.0489, 'recall': 0.1466, 'precision': 0.0294}
idx=81, metric_dict={'f1': 0.0484, 'recall': 0.1453, 'precision': 0.029}
idx=82, metric_dict={'f1': 0.0479, 'recall': 0.1441, 'precision': 0.0287}
idx=83, metric_dict={'f1': 0.0501, 'recall': 0.1513, 'precision': 0.0301}
idx=84, metric_dict={'f1': 0.0526, 'recall': 0.1583, 'precision': 0.0315}
idx=85, metric_dict={'f1': 0.0518, 'recall': 0.157, 'precision': 0.031}
idx=86, metric_dict={'f1': 0.0505, 'recall': 0.1557, 'precision': 0.0302}
idx=87, metric_dict={'f1': 0.0505, 'recall': 0.1545, 'precision': 0.0302}
idx=88, metric_dict={'f1': 0.0473, 'recall': 0.1532, 'precision': 0.028}
idx=89, metric_dict={'f1': 0.0467, 'recall': 0.152, 'precision': 0.0276}
idx=90, metric_dict={'f1': 0.0462, 'recall': 0.1508, 'precision': 0.0273}
idx=91, metric_dict={'f1': 0.0483, 'recall': 0.1575, 'precision': 0.0285}
idx=92, metric_dict={'f1': 0.0506, 'recall': 0.1641, 'precision': 0.0299}
idx=93, metric_dict={'f1': 0.0488, 'recall': 0.1591, 'precision': 0.0288}
idx=94, metric_dict={'f1': 0.0486, 'recall': 0.1579, 'precision': 0.0287}
idx=95, metric_dict={'f1': 0.0506, 'recall': 0.1642, 'precision': 0.0299}
idx=96, metric_dict={'f1': 0.0505, 'recall': 0.163, 'precision': 0.0299}
idx=97, metric_dict={'f1': 0.0495, 'recall': 0.1618, 'precision': 0.0292}
idx=98, metric_dict={'f1': 0.0486, 'recall': 0.1606, 'precision': 0.0286}
idx=99, metric_dict={'f1': 0.0507, 'recall': 0.1667, 'precision': 0.0299}
idx=100, metric_dict={'f1': 0.0505, 'recall': 0.1655, 'precision': 0.0298}
idx=101, metric_dict={'f1': 0.0503, 'recall': 0.1643, 'precision': 0.0297}
idx=102, metric_dict={'f1': 0.0523, 'recall': 0.1702, 'precision': 0.0309}
idx=103, metric_dict={'f1': 0.0522, 'recall': 0.169, 'precision': 0.0309}
idx=104, metric_dict={'f1': 0.0518, 'recall': 0.1644, 'precision': 0.0307}
idx=105, metric_dict={'f1': 0.0516, 'recall': 0.1611, 'precision': 0.0307}
idx=106, metric_dict={'f1': 0.0535, 'recall': 0.1667, 'precision': 0.0319}
idx=107, metric_dict={'f1': 0.0532, 'recall': 0.1656, 'precision': 0.0317}
idx=108, metric_dict={'f1': 0.053, 'recall': 0.1645, 'precision': 0.0316}
idx=109, metric_dict={'f1': 0.0563, 'recall': 0.1753, 'precision': 0.0335}
idx=110, metric_dict={'f1': 0.0561, 'recall': 0.1742, 'precision': 0.0334}
idx=111, metric_dict={'f1': 0.056, 'recall': 0.1731, 'precision': 0.0334}
idx=112, metric_dict={'f1': 0.0557, 'recall': 0.172, 'precision': 0.0332}
idx=113, metric_dict={'f1': 0.0565, 'recall': 0.1772, 'precision': 0.0336}
idx=114, metric_dict={'f1': 0.0565, 'recall': 0.1761, 'precision': 0.0336}
idx=115, metric_dict={'f1': 0.0557, 'recall': 0.175, 'precision': 0.0331}
idx=116, metric_dict={'f1': 0.0555, 'recall': 0.1739, 'precision': 0.033}
idx=117, metric_dict={'f1': 0.0553, 'recall': 0.1728, 'precision': 0.0329}
idx=118, metric_dict={'f1': 0.0537, 'recall': 0.1718, 'precision': 0.0318}
idx=119, metric_dict={'f1': 0.0536, 'recall': 0.1707, 'precision': 0.0318}
idx=120, metric_dict={'f1': 0.0533, 'recall': 0.1697, 'precision': 0.0316}
idx=121, metric_dict={'f1': 0.0578, 'recall': 0.1813, 'precision': 0.0344}
idx=122, metric_dict={'f1': 0.0575, 'recall': 0.1802, 'precision': 0.0342}
idx=123, metric_dict={'f1': 0.0574, 'recall': 0.1792, 'precision': 0.0342}
idx=124, metric_dict={'f1': 0.0535, 'recall': 0.1761, 'precision': 0.0316}
idx=125, metric_dict={'f1': 0.0533, 'recall': 0.1751, 'precision': 0.0314}
idx=126, metric_dict={'f1': 0.0531, 'recall': 0.1742, 'precision': 0.0313}
idx=127, metric_dict={'f1': 0.0528, 'recall': 0.1732, 'precision': 0.0312}
idx=128, metric_dict={'f1': 0.0521, 'recall': 0.1722, 'precision': 0.0307}
idx=129, metric_dict={'f1': 0.0537, 'recall': 0.1768, 'precision': 0.0317}
idx=130, metric_dict={'f1': 0.0528, 'recall': 0.1749, 'precision': 0.0311}
idx=131, metric_dict={'f1': 0.0544, 'recall': 0.1793, 'precision': 0.032}
idx=132, metric_dict={'f1': 0.0535, 'recall': 0.1774, 'precision': 0.0315}
idx=133, metric_dict={'f1': 0.0523, 'recall': 0.1755, 'precision': 0.0308}
idx=134, metric_dict={'f1': 0.0521, 'recall': 0.1746, 'precision': 0.0306}
idx=135, metric_dict={'f1': 0.0519, 'recall': 0.1737, 'precision': 0.0305}
idx=136, metric_dict={'f1': 0.0516, 'recall': 0.1728, 'precision': 0.0304}
idx=137, metric_dict={'f1': 0.051, 'recall': 0.171, 'precision': 0.03}
idx=138, metric_dict={'f1': 0.0498, 'recall': 0.1701, 'precision': 0.0292}
idx=139, metric_dict={'f1': 0.0498, 'recall': 0.1692, 'precision': 0.0292}
idx=140, metric_dict={'f1': 0.0495, 'recall': 0.1684, 'precision': 0.029}
idx=141, metric_dict={'f1': 0.051, 'recall': 0.1726, 'precision': 0.0299}
idx=142, metric_dict={'f1': 0.0509, 'recall': 0.1709, 'precision': 0.0299}
idx=143, metric_dict={'f1': 0.0504, 'recall': 0.17, 'precision': 0.0296}
idx=144, metric_dict={'f1': 0.0517, 'recall': 0.1741, 'precision': 0.0304}
idx=145, metric_dict={'f1': 0.0515, 'recall': 0.1733, 'precision': 0.0303}
idx=146, metric_dict={'f1': 0.0528, 'recall': 0.1773, 'precision': 0.031}
idx=147, metric_dict={'f1': 0.0542, 'recall': 0.1814, 'precision': 0.0318}
idx=148, metric_dict={'f1': 0.0541, 'recall': 0.1805, 'precision': 0.0318}
idx=149, metric_dict={'f1': 0.054, 'recall': 0.1796, 'precision': 0.0318}
Saving LLM input trace to input_trace_Wikidata/llm_input_trace_sc_agent_glm-4.7_Wikidata_.json...
Finish predicting with 150 samples.
Loading results...
Generating train split: 150 examples [00:00, 344.43 examples/s]
Evaluating...
Error formatting triplet: {'object': None, 'predicate': 'has subsidiary', 'subject': 'Joh. A. Benckiser GmbH'}, error: sequence item 2: expected str instance, NoneType found
Evaluation result: {'f1': 0.054, 'recall': 0.1796, 'precision': 0.0318}
