{'model': {'name': 'sc_agent', 'max_iterations': 2, 'max_retry': 2, 'chunking': False, 'logname': 'sc_agent'}, 'tools': {'Finish': {'open': True}, 'GetTaskDescription': {'open': True}, 'GetRelationDefinition': {'open': True}, 'RetrieveExamples': {'open': True, 'mode': 'bge', 'k': 3}}, 'train': {'if_train': False, 'if_predict': True, 'if_evaluate': True, 'trainer': 'trainer_sc_agent'}, 'data': {'type': 're', 'name': 'Wikidata', 'language': 'en', 'num_samples': 150, 'num_samples_index': 1000, 'train_num_samples': 0, 'input_trace': True}, 'llm': {'model_name': 'glm-4.7', 'temperature': 0, 'max_tokens': 4096, 'use_cache': False, 'client': 'academic'}}
Start predicting with 150 samples (indices 0..149).
idx=0, metric_dict={'f1': 0, 'recall': 0.0, 'precision': 0.0}
idx=76, metric_dict={'f1': 0.0468, 'recall': 0.2222, 'precision': 0.0262}
idx=77, metric_dict={'f1': 0.0458, 'recall': 0.2202, 'precision': 0.0256}
idx=78, metric_dict={'f1': 0.0448, 'recall': 0.2273, 'precision': 0.0249}
idx=79, metric_dict={'f1': 0.0442, 'recall': 0.2212, 'precision': 0.0245}
idx=80, metric_dict={'f1': 0.044, 'recall': 0.2155, 'precision': 0.0245}
idx=81, metric_dict={'f1': 0.0438, 'recall': 0.2137, 'precision': 0.0244}
idx=82, metric_dict={'f1': 0.043, 'recall': 0.2119, 'precision': 0.0239}
idx=83, metric_dict={'f1': 0.0445, 'recall': 0.2185, 'precision': 0.0248}
idx=84, metric_dict={'f1': 0.046, 'recall': 0.225, 'precision': 0.0256}
idx=85, metric_dict={'f1': 0.0456, 'recall': 0.2231, 'precision': 0.0254}
idx=86, metric_dict={'f1': 0.0424, 'recall': 0.2213, 'precision': 0.0234}
idx=87, metric_dict={'f1': 0.0406, 'recall': 0.2195, 'precision': 0.0224}
idx=88, metric_dict={'f1': 0.0399, 'recall': 0.2177, 'precision': 0.022}
idx=89, metric_dict={'f1': 0.0388, 'recall': 0.216, 'precision': 0.0213}
idx=90, metric_dict={'f1': 0.0382, 'recall': 0.2143, 'precision': 0.021}
idx=91, metric_dict={'f1': 0.0394, 'recall': 0.2205, 'precision': 0.0216}
idx=92, metric_dict={'f1': 0.0408, 'recall': 0.2266, 'precision': 0.0224}
idx=93, metric_dict={'f1': 0.0401, 'recall': 0.2197, 'precision': 0.0221}
idx=94, metric_dict={'f1': 0.0412, 'recall': 0.2256, 'precision': 0.0227}
idx=95, metric_dict={'f1': 0.0412, 'recall': 0.2239, 'precision': 0.0227}
idx=96, metric_dict={'f1': 0.0411, 'recall': 0.2222, 'precision': 0.0226}
idx=97, metric_dict={'f1': 0.0408, 'recall': 0.2206, 'precision': 0.0225}
idx=98, metric_dict={'f1': 0.0402, 'recall': 0.219, 'precision': 0.0221}
idx=99, metric_dict={'f1': 0.0414, 'recall': 0.2246, 'precision': 0.0228}
idx=100, metric_dict={'f1': 0.0414, 'recall': 0.223, 'precision': 0.0228}
idx=101, metric_dict={'f1': 0.0412, 'recall': 0.2214, 'precision': 0.0227}
idx=102, metric_dict={'f1': 0.0425, 'recall': 0.227, 'precision': 0.0234}
idx=103, metric_dict={'f1': 0.0424, 'recall': 0.2254, 'precision': 0.0234}
idx=104, metric_dict={'f1': 0.0422, 'recall': 0.2192, 'precision': 0.0233}
idx=105, metric_dict={'f1': 0.0401, 'recall': 0.2148, 'precision': 0.0221}
idx=106, metric_dict={'f1': 0.0407, 'recall': 0.22, 'precision': 0.0224}
idx=107, metric_dict={'f1': 0.0417, 'recall': 0.2252, 'precision': 0.023}
idx=108, metric_dict={'f1': 0.0417, 'recall': 0.2237, 'precision': 0.023}
idx=109, metric_dict={'f1': 0.0429, 'recall': 0.2338, 'precision': 0.0236}
idx=110, metric_dict={'f1': 0.0428, 'recall': 0.2323, 'precision': 0.0236}
idx=111, metric_dict={'f1': 0.0427, 'recall': 0.2308, 'precision': 0.0235}
idx=112, metric_dict={'f1': 0.0425, 'recall': 0.2293, 'precision': 0.0234}
idx=113, metric_dict={'f1': 0.0433, 'recall': 0.2342, 'precision': 0.0239}
idx=114, metric_dict={'f1': 0.0427, 'recall': 0.2327, 'precision': 0.0235}
idx=115, metric_dict={'f1': 0.0424, 'recall': 0.2313, 'precision': 0.0233}
idx=116, metric_dict={'f1': 0.0423, 'recall': 0.2298, 'precision': 0.0233}
idx=117, metric_dict={'f1': 0.0422, 'recall': 0.2284, 'precision': 0.0232}
idx=118, metric_dict={'f1': 0.0422, 'recall': 0.227, 'precision': 0.0232}
idx=119, metric_dict={'f1': 0.0421, 'recall': 0.2256, 'precision': 0.0232}
idx=120, metric_dict={'f1': 0.042, 'recall': 0.2242, 'precision': 0.0232}
idx=121, metric_dict={'f1': 0.0448, 'recall': 0.2339, 'precision': 0.0248}
idx=122, metric_dict={'f1': 0.0447, 'recall': 0.2326, 'precision': 0.0247}
idx=123, metric_dict={'f1': 0.0446, 'recall': 0.2312, 'precision': 0.0247}
idx=124, metric_dict={'f1': 0.0437, 'recall': 0.2273, 'precision': 0.0242}
idx=125, metric_dict={'f1': 0.0435, 'recall': 0.226, 'precision': 0.0241}
idx=126, metric_dict={'f1': 0.0445, 'recall': 0.2303, 'precision': 0.0246}
idx=127, metric_dict={'f1': 0.0444, 'recall': 0.2291, 'precision': 0.0246}
idx=128, metric_dict={'f1': 0.0453, 'recall': 0.2333, 'precision': 0.0251}
idx=129, metric_dict={'f1': 0.0463, 'recall': 0.2376, 'precision': 0.0256}
idx=130, metric_dict={'f1': 0.0458, 'recall': 0.235, 'precision': 0.0254}
idx=131, metric_dict={'f1': 0.0457, 'recall': 0.2337, 'precision': 0.0254}
idx=132, metric_dict={'f1': 0.0447, 'recall': 0.2312, 'precision': 0.0247}
idx=133, metric_dict={'f1': 0.0441, 'recall': 0.2287, 'precision': 0.0244}
idx=134, metric_dict={'f1': 0.0438, 'recall': 0.2275, 'precision': 0.0243}
idx=135, metric_dict={'f1': 0.0436, 'recall': 0.2263, 'precision': 0.0241}
idx=136, metric_dict={'f1': 0.0435, 'recall': 0.2251, 'precision': 0.0241}
idx=137, metric_dict={'f1': 0.0431, 'recall': 0.2228, 'precision': 0.0239}
idx=138, metric_dict={'f1': 0.0428, 'recall': 0.2216, 'precision': 0.0237}
idx=139, metric_dict={'f1': 0.0428, 'recall': 0.2205, 'precision': 0.0237}
idx=140, metric_dict={'f1': 0.0428, 'recall': 0.2194, 'precision': 0.0237}
idx=141, metric_dict={'f1': 0.0437, 'recall': 0.2234, 'precision': 0.0242}
idx=142, metric_dict={'f1': 0.042, 'recall': 0.2211, 'precision': 0.0232}
idx=143, metric_dict={'f1': 0.0418, 'recall': 0.22, 'precision': 0.0231}
idx=144, metric_dict={'f1': 0.0426, 'recall': 0.2239, 'precision': 0.0235}
idx=145, metric_dict={'f1': 0.0424, 'recall': 0.2228, 'precision': 0.0234}
idx=146, metric_dict={'f1': 0.0433, 'recall': 0.2266, 'precision': 0.0239}
idx=147, metric_dict={'f1': 0.0438, 'recall': 0.2304, 'precision': 0.0242}
idx=148, metric_dict={'f1': 0.0437, 'recall': 0.2293, 'precision': 0.0241}
idx=149, metric_dict={'f1': 0.0437, 'recall': 0.2282, 'precision': 0.0241}
Saving LLM input trace to input_trace_Wikidata/llm_input_trace_sc_agent_glm-4.7_Wikidata_.json...
Finish predicting with 150 samples.
Loading results...
Generating train split: 150 examples [00:01, 101.30 examples/s]
Evaluating...
Evaluation result: {'f1': 0.0437, 'recall': 0.2282, 'precision': 0.0241}
